,vehicle_speed,throttle_percentage,acc_calculated
164,6.13901,0.1,0.003055556
165,6.13953,0.1,0.002777778
166,6.14001,0.1,0.002527778
167,6.14044,0.1,0.002277778
168,6.14083,0.1,0.003083333
169,6.14155,0.1,0.003833333
170,6.14221,0.1,0.003472222
171,6.1428,0.1,0.003138889
172,6.14334,0.1,0.002833333
173,6.14382,0.1,0.002555556
174,6.14426,0.1,0.002333333
175,6.14466,0.1,0.003138889
176,6.14539,0.1,0.003861111
177,6.14605,0.1,0.0035
178,6.14665,0.1,0.003166667
179,6.14719,0.1,0.002861111
180,6.14768,0.1,0.002583333
181,6.14812,0.1,0.002361111
182,6.14853,0.1,0.002138889
183,6.14889,0.1,0.001916667
184,6.14922,0.1,0.002777778
185,6.14989,0.1,0.003527778
186,6.15049,0.1,0.003194444
187,6.15104,0.1,0.002916667
188,6.15154,0.1,0.002611111
189,6.15198,0.1,0.002361111
190,6.15239,0.1,0.002166667
191,6.15276,0.1,0.002972222
192,6.15346,0.1,0.003722222
193,6.1541,0.1,0.003361111
194,6.15467,0.1,0.003055556
195,6.1552,0.1,0.002777778
196,6.15567,0.1,0.002472222
197,6.15609,0.1,0.00225
198,6.15648,0.1,0.002055556
199,6.15683,0.1,0.002888889
200,6.15752,0.1,0.003638889
201,6.15814,0.1,0.003277778
202,6.1587,0.1,0.002972222
203,6.15921,0.1,0.002694444
204,6.15967,0.1,0.002444444
205,6.16009,0.1,0.002222222
206,6.16047,0.1,0.002
207,6.16081,0.1,0.001805556
208,6.16112,0.1,0.002666667
209,6.16177,0.1,0.003444444
210,6.16236,0.1,0.003138889
211,6.1629,0.1,0.002833333
212,6.16338,0.1,0.002527778
213,6.16381,0.1,0.002305556
214,6.16421,0.1,0.002111111
215,6.16457,0.1,0.002916667
216,6.16526,0.1,0.003666667
217,6.16589,0.1,0.003333333
218,6.16646,0.1,0.003027778
219,6.16698,0.1,0.002722222
220,6.16744,0.1,0.002444444
221,6.16786,0.1,0.002222222
222,6.16824,0.1,0.002027778
223,6.16859,0.1,0.001833333
224,6.1689,0.1,0.002694444
225,6.16956,0.1,0.003472222
226,6.17015,0.1,0.003111111
227,6.17068,0.1,0.002833333
228,6.17117,0.1,0.002583333
229,6.17161,0.1,0.002333333
230,6.17201,0.1,0.002083333
231,6.17236,0.1,0.001888889
232,6.17269,0.1,0.001722222
233,6.17298,0.1,0.001555556
234,6.17325,0.1,0.001416667
235,6.17349,0.1,0.002305556
236,6.17408,0.1,0.003111111
237,6.17461,0.1,0.002833333
238,6.1751,0.1,0.002555556
239,6.17553,0.1,0.002305556
240,6.17593,0.1,0.002111111
241,6.17629,0.1,0.001888889
242,6.17661,0.1,0.001694444
243,6.1769,0.1,0.001555556
244,6.17717,0.1,0.002444444
245,6.17778,0.1,0.003222222
246,6.17833,0.1,0.002916667
247,6.17883,0.1,0.002666667
248,6.17929,0.1,0.002416667
249,6.1797,0.1,0.002166667
250,6.18007,0.1,0.001944444
251,6.1804,0.1,0.001777778
252,6.18071,0.1,0.002638889
253,6.18135,0.1,0.003416667
254,6.18194,0.1,0.003111111
255,6.18247,0.1,0.002777778
256,6.18294,0.1,0.002527778
257,6.18338,0.1,0.002305556
258,6.18377,0.1,0.002055556
259,6.18412,0.1,0.001888889
260,6.18445,0.1,0.001722222
261,6.18474,0.1,0.001527778
262,6.185,0.1,0.001388889
263,6.18524,0.1,0.002277778
264,6.18582,0.1,0.003111111
265,6.18636,0.1,0.002833333
266,6.18684,0.1,0.002527778
267,6.18727,0.1,0.002277778
268,6.18766,0.1,0.002083333
269,6.18802,0.1,0.001888889
270,6.18834,0.1,0.001694444
271,6.18863,0.1,0.001555556
272,6.1889,0.1,0.001416667
273,6.18914,0.1,0.00125
274,6.18935,0.1,0.002166667
275,6.18992,0.1,0.003
276,6.19043,0.1,0.002722222
277,6.1909,0.1,0.002472222
278,6.19132,0.1,0.002222222
279,6.1917,0.1,0.002
280,6.19204,0.1,0.001805556
