0,23.2093,0.25,-0.121111111
1,23.1467,0.25,-0.331388889
2,23.09,0.25,-0.503333333
3,22.9655,0.25,-0.658888889
4,22.8528,0.25,-0.782777778
5,22.6837,0.25,-0.895
6,22.5306,0.25,-0.985555556
7,22.3289,0.25,-1.0675
8,22.1463,0.25,-1.133055556
9,21.921,0.25,-1.192222222
10,21.7171,0.25,-1.242222222
11,21.4738,0.25,-1.286944444
12,21.2538,0.25,-1.164444444
13,21.0546,0.25,-1.213888889
14,20.8168,0.25,-1.258333333
15,20.6016,0.25,-1.2975
16,20.3497,0.25,-1.333055556
17,20.1217,0.25,-1.364166667
18,19.8586,0.25,-1.392222222
19,19.6205,0.25,-1.417777778
20,19.3482,0.25,-1.441111111
21,19.1017,0.25,-1.465
22,18.8208,0.25,-1.486388889
23,18.5666,0.25,-1.506111111
24,18.2786,0.25,-1.523888889
25,18.018,0.25,-1.540833333
26,17.7239,0.25,-1.556388889
27,17.4577,0.25,-1.570555556
28,17.1585,0.25,-0.831111111
29,17.1585,0.25,-0.913055556
30,16.8298,0.25,-1.739166667
31,16.5324,0.25,-1.573611111
32,16.2633,0.25,-1.584166667
33,15.9621,0.25,-1.593611111
34,15.6896,0.25,-1.616111111
35,15.3803,0.25,-1.636666667
36,15.1004,0.25,-1.481388889
37,14.847,0.25,-1.521111111
38,14.5528,0.25,-1.556666667
39,14.2866,0.25,-1.584166667
40,13.9825,0.25,-1.609166667
41,13.7073,0.25,-1.456111111
42,13.4583,0.25,-1.484722222
43,13.1728,0.25,-1.510555556
44,12.9145,0.25,-1.366944444
45,12.6807,0.25,-1.431111111
46,12.3993,0.25,-1.488888889
47,12.1447,0.25,-1.347222222
48,11.9143,0.25,-1.443055556
49,11.6252,0.25,-1.529722222
50,11.3636,0.25,-1.598055556
51,11.0499,0.25,-1.659722222
52,10.7661,0.25,-1.501666667
53,10.5093,0.25,-1.570277778
54,10.2008,0.25,-1.632583333
55,9.92157,0.25,-1.477444444
56,9.66892,0.25,-1.532944444
57,9.36971,0.25,-1.58325
58,9.09895,0.25,-1.590555556
59,8.79711,0.25,-1.597166667
60,8.52397,0.25,-1.44525
61,8.27682,0.25,-1.477027778
62,7.99224,0.25,-1.505805556
63,7.73473,0.25,-1.518444444
64,7.4456,0.25,-1.529861111
65,7.18398,0.25,-1.384305556
66,6.94725,0.25,-1.372361111
67,6.68993,0.25,-1.361555556
68,6.45709,0.25,-1.232027778
69,6.2464,0.25,-1.209805556
70,6.02156,0.25,-1.269166667
